source,section,text
ics_faq,ics_faq_block_1,Counselling is not the same as giving advice. It is quite different from the general opinion held by people. Going for a counselling session in no way indicates that you are helpless or incapable of solving your problems. By talking about your problems or concerns with a counsellor you will deepen your understanding of your problem and develop the means to deal with them. We are happy to talk over any of your problems and with your agreement may refer you to other sources who might be able to help better such as psychiatrists or doctors.
ics_faq,ics_faq_block_2,All registered undergraduate and postgraduate students can avail the service free of cost. The expenditure involved if you wish to see the psychiatrist is also borne by the service.
ics_faq,ics_faq_block_3,"You can contact the team members by seeing us in person, making a telephone call or mail-anything you are comfortable with. Click here to see the list of contacts."
ics_faq,ics_faq_block_4,"It doesn't really matter how you present your problem.You can say whatever you like. Sometimes there is silence, sometimes you might find yourself saying things you had not expected to say. The counsellor will help you explore the matter and will keep referring to you to clarify his/her understanding."
ics_faq,ics_faq_block_5,"You can come to us for academic problems, emotional issues, career awareness and financial difficulties. These may include stress related problems, exam anxiety, personal problems and career related queries."
ics_faq,ics_faq_block_6,"Many of our problems arise just because we are human.We all make mistakes and have to learn from them, and it is normal to need several goes before we get something right. No. Counselling is based in the belief that most people naturally strive to make the best use of themselves. When something goes wrong, it is usually because we are pushing ourselves too hard; because we are in a muddle for reasons we don't fully understand or because we are actually are suffering some form of mental distress which is distorting our view of reality. Therefore judging is not helpful or relevant; they need to be supported in finding their own way out of the problem."
ics_faq,ics_faq_block_7,"We all make mistakes and have to learn from them, and it is normal to need several goes before we get something right. Needing help is a normal part of this process. You could only label it as failure if you had already decided you must succeed entirely on our own - which is not a burden you have to impose on yourself. If you think you've failed, the counsellor might help you see that this is not all there is to it."
ics_faq,ics_faq_block_8,Paradoxically it can be seen as a matter of strength to ask for counselling. Many people think that they are being strong in not seeking help whereas in fact those who can admit to their difficulties could be considered the strong ones. Asking for counselling often mean you have taken the first difficult step on the road to resolving the problem.
ics_faq,ics_faq_block_9,Counsellors do accept that it is natural to want to appear successful and that most of us feel some shame when we have problems and so don't want to advertise our difficulties. This is one of the reasons we place a great emphasis on confidentiality.
ics_faq,ics_faq_block_10,Strict confidentiality is ensured in the Institute Counselling Service.
ics_faq,ics_faq_block_11,"If a student approaches the Institute Counselling Service, nothing about it will go on his record."
ics_faq,ics_faq_block_12,"No, but it seems to offer at least some help to the majority so is worth a try."
ics_faq,ics_faq_block_13,"Counselling bears little relation to psychiatry except that both deal with emotional and mental processes. Psychiatrist are trained doctors, who work largely through diagnosis of illness and then by prescribing a treatment - usually involving medication. Counsellors are normally non-medical personnel who work by talking and encouraging you to find your own solutions. Counsellors can however recognize the symptoms of severe mental distress, and may suggest you to consider medical help if seems appropriate."
ics_faq,ics_faq_block_14,"If you want to approach us regarding a friend, you are most welcome. We'll try our best to help you in helping your friend."
